clients,n_trees,max_depth,bins,random_state,split,acc,mcc
2,50,10,5,0,4,0.9464285714285714,0.8874245216579992
2,50,10,10,0,0,0.9473684210526315,0.8886350389948482
2,50,10,10,0,1,0.9649122807017544,0.9246031746031746
2,50,10,10,0,2,0.9473684210526315,0.8886350389948482
2,50,10,10,0,3,0.9649122807017544,0.9246031746031746
2,50,10,10,0,4,0.9649122807017544,0.9246031746031746
2,50,10,10,0,0,0.9473684210526315,0.8886350389948482
2,50,10,10,0,1,0.9824561403508771,0.962621902223779
2,50,10,10,0,2,0.9473684210526315,0.8894991799933214
2,50,10,10,0,3,0.9473684210526315,0.8886350389948482
2,50,10,10,0,4,0.9642857142857143,0.9238095238095239
2,50,10,10,0,0,0.9649122807017544,0.925974025974026
2,50,10,10,0,1,0.9473684210526315,0.8886350389948482
2,50,10,10,0,2,0.9298245614035088,0.8486684247915055
2,50,10,10,0,3,0.9473684210526315,0.8864143349643965
2,50,10,10,0,4,0.9298245614035088,0.8486684247915055
2,50,10,10,0,0,0.9649122807017544,0.9273353546322172
2,50,10,10,0,1,0.9649122807017544,0.9258200997725514
2,50,10,10,0,2,0.9473684210526315,0.8894991799933214
2,50,10,10,0,3,0.9473684210526315,0.8886350389948482
2,50,10,10,0,4,0.9642857142857143,0.9238095238095239
2,50,10,10,0,0,0.9473684210526315,0.8886350389948482
2,50,10,10,0,1,0.9473684210526315,0.8886350389948482
2,50,10,10,0,2,0.9122807017543859,0.810206767705014
2,50,10,10,0,3,0.9298245614035088,0.8486684247915055
2,50,10,10,0,4,0.9649122807017544,0.9246031746031746
2,50,10,10,0,0,0.9298245614035088,0.851823761469308
2,50,10,10,0,1,0.9649122807017544,0.9246031746031746
2,50,10,10,0,2,0.9473684210526315,0.8894991799933214
2,50,10,10,0,3,0.9298245614035088,0.8544784126535336
2,50,10,10,0,4,0.9821428571428571,0.9622504486493763
2,50,10,25,0,0,0.9473684210526315,0.8886350389948482
2,50,10,25,0,1,0.9824561403508771,0.962621902223779
2,50,10,25,0,2,0.9649122807017544,0.9258200997725514
2,50,10,25,0,3,0.9298245614035088,0.8544784126535336
2,50,10,25,0,4,0.9642857142857143,0.9238095238095239
2,50,10,25,0,0,0.9473684210526315,0.8886350389948482
2,50,10,25,0,1,0.9473684210526315,0.8886350389948482
2,50,10,25,0,2,0.9298245614035088,0.8492063492063492
2,50,10,25,0,3,0.9298245614035088,0.8492063492063492
2,50,10,25,0,4,0.9473684210526315,0.8864143349643965
2,50,10,25,0,0,0.9649122807017544,0.925974025974026
2,50,10,25,0,1,0.9824561403508771,0.962621902223779
2,50,10,25,0,2,0.9298245614035088,0.8486684247915055
2,50,10,25,0,3,0.9298245614035088,0.8544784126535336
2,50,10,25,0,4,0.9821428571428571,0.9622504486493763
2,50,10,25,0,0,0.9649122807017544,0.925974025974026
